id,device_id,humidity,temperature,received_at,linkquality,comfort_humidity_min,comfort_temperature_max,comfort_humidity_max,comfort_temperature_min,humidity_calibration,temperature_calibration,temperature_units,idempotency_key,battery
2,0,45.3,22.8,2026-04-05 02:44:19.872 +0100,54,40.0,27.0,60.0,19.0,0.0,0.0,celsius,c090d0b491ce1206627b2126e7ab6be5226edeb6806deb46047503495b9ced61,100.0
4,0,48.1,22.8,2026-04-05 02:49:41.817 +0100,27,40.0,27.0,60.0,19.0,0.0,0.0,celsius,6b87722c60389eb24b0a7bcba70ce8e141cc34ab2263bcf30bca2651fa3e9a88,100.0
6,0,53.6,22.8,2026-04-05 02:49:51.752 +0100,18,40.0,27.0,60.0,19.0,0.0,0.0,celsius,c391e419854133b79e843d22c706729c6d32dfc8abb1b3339efa61fc217f6304,100.0
8,0,53.3,22.8,2026-04-05 02:50:01.740 +0100,48,40.0,27.0,60.0,19.0,0.0,0.0,celsius,2b4fa847653dbf3a01344c45a91e808cea1ee9fb3b882b489cc3eff5c3ddb0ac,100.0
10,0,47.7,22.8,2026-04-05 02:50:11.725 +0100,45,40.0,27.0,60.0,19.0,0.0,0.0,celsius,fd1f84a4cb954c7fc834d9a92bae943e5193272035ebf8b6af5342e10c124235,100.0
12,0,46.6,22.8,2026-04-05 02:50:21.716 +0100,54,40.0,27.0,60.0,19.0,0.0,0.0,celsius,156f3e4e2f67aebb954107ddd1f1cc24efa2db2fd58fd3afd52607a417ea0d69,100.0
14,0,45.6,22.8,2026-04-05 02:53:13.088 +0100,24,40.0,27.0,60.0,19.0,0.0,0.0,celsius,239518cb46c1d09f53eb5e364a6163b55c25d5a7aa5d9eddc0283488675d2182,100.0
16,0,46.6,22.8,2026-04-05 02:57:09.496 +0100,51,40.0,27.0,60.0,19.0,0.0,0.0,celsius,a2bbb2a2159a9f0667c5a55fb0a05e213915485819cd4488a70a9c6d13144b30,100.0
20,0,47.6,22.8,2026-04-05 03:06:37.868 +0100,30,40.0,27.0,60.0,19.0,0.0,0.0,celsius,5593a51de8a9995c1ebf40dc9d56b0db7403670a3fb5932142dd5691e86b5d63,100.0
22,0,46.6,22.8,2026-04-05 03:08:13.443 +0100,30,40.0,27.0,60.0,19.0,0.0,0.0,celsius,5be001778cda2ac9e501a2811d5cf9d85f821dca4f3650eb12a7dac589d05659,100.0
24,0,45.6,22.8,2026-04-05 03:38:34.233 +0100,30,40.0,27.0,60.0,19.0,0.0,0.0,celsius,3cb9ba399df485e8ec8db70dbd1eabfc1893e15a8e81b157bd17596da0653135,100.0
28,0,45.6,22.8,2026-04-05 04:05:28.800 +0100,33,40.0,27.0,60.0,19.0,0.0,0.0,celsius,4f4d5e2bf6cbb11006b9d139da7300058c3f920aa5e744f71eaea773efafa169,100.0
30,0,45.6,23.2,2026-04-05 04:06:00.178 +0100,33,40.0,27.0,60.0,19.0,0.0,0.0,celsius,c71ac638082489305d6fe6375277118e478683b0e4e6dfa60d88959647972112,100.0
34,0,45.6,23.4,2026-04-05 05:05:55.194 +0100,33,40.0,27.0,60.0,19.0,0.0,0.0,celsius,be343e9bf559c4479951e9f542b4b29593dd84ac6ed7f8303d7d1351ee10e0e3,100.0
36,0,46.6,23.4,2026-04-05 05:45:19.025 +0100,30,40.0,27.0,60.0,19.0,0.0,0.0,celsius,faefb122070b468f94801a0090fd40e13df91b8f05f36fa2f8548e1a5282de34,100.0
38,0,46.6,23.6,2026-04-05 06:05:50.182 +0100,30,40.0,27.0,60.0,19.0,0.0,0.0,celsius,cef4606891f2e878b295f1d0e33b3e409a6fa92e29f6ccc6bf218729f1cbc7e7,100.0
40,0,47.6,23.6,2026-04-05 06:24:37.882 +0100,30,40.0,27.0,60.0,19.0,0.0,0.0,celsius,55c37560f5f8803802633de2217ec6d280e44a7df3450c0b81e08fce192debd6,100.0
42,0,47.6,23.8,2026-04-05 07:05:45.119 +0100,30,40.0,27.0,60.0,19.0,0.0,0.0,celsius,99916b4ca6e471f600ace98c752bce09c90a64d303de23249babb8412a5e4bf7,100.0
44,0,47.6,23.8,2026-04-05 07:24:32.745 +0100,27,40.0,27.0,60.0,19.0,0.0,0.0,celsius,3213549e9cba42bec8c30fcd690636faae298233a3ceb8345559bf3ac044019c,100.0
46,0,47.6,24.0,2026-04-05 08:05:39.918 +0100,24,40.0,27.0,60.0,19.0,0.0,0.0,celsius,0fc83200cb2544b29028e49f3170656b35d5fde600025dbb632094611b3247c6,100.0
48,0,48.6,24.0,2026-04-05 08:24:24.785 +0100,51,40.0,27.0,60.0,19.0,0.0,0.0,celsius,9a767a0fea7342c706bdaf20a408c5d9790c0e96059100bb4a419212cb192251,100.0
50,0,49.6,24.0,2026-04-05 08:27:15.797 +0100,12,40.0,27.0,60.0,19.0,0.0,0.0,celsius,3ee073542dbe4f2bf1acdeb959f65f978426864e025fb35aa5ec49894a7fa7b4,100.0
52,0,50.9,24.0,2026-04-05 08:27:45.979 +0100,42,40.0,27.0,60.0,19.0,0.0,0.0,celsius,8e1090124562617edc6c8d53b6fdc3b2b10170dcc8fc17ddc04b56623120b455,100.0
54,0,53.2,24.0,2026-04-05 08:27:56.048 +0100,51,40.0,27.0,60.0,19.0,0.0,0.0,celsius,1b397c4481c7054f8ab2e9b2713739180a16b5c38a3b4cfac4ad89b4693414df,100.0
56,0,58.8,24.0,2026-04-05 08:28:06.022 +0100,45,40.0,27.0,60.0,19.0,0.0,0.0,celsius,a70f956ad0dcacc134e983ec276e8a3305202c0ed063e2ce4f795211d755e77e,100.0
58,0,55.9,24.0,2026-04-05 08:28:16.009 +0100,3,40.0,27.0,60.0,19.0,0.0,0.0,celsius,ef1622d5bbb103df0e473d1b780acf1fe198059e983b07b16514894e73d21c0b,100.0
60,0,59.4,24.0,2026-04-05 08:28:25.995 +0100,54,40.0,27.0,60.0,19.0,0.0,0.0,celsius,ae0c885412c4271e10f21e65f7cb2c290cf52793047714e9d495ec1bc67b71a6,100.0
62,0,61.2,24.0,2026-04-05 08:28:35.982 +0100,21,40.0,27.0,60.0,19.0,0.0,0.0,celsius,5cded30aff3ad5f32e021376cc9ff5da7e2a2d6c06bfa4abe6898880f6d7ba06,100.0
64,0,64.4,24.0,2026-04-05 08:28:45.967 +0100,24,40.0,27.0,60.0,19.0,0.0,0.0,celsius,faa8b78a482ae8f1568a55c839cbf91b7013426ec2677f8cb4081a581f1042d0,100.0
66,0,66.6,24.0,2026-04-05 08:29:01.512 +0100,33,40.0,27.0,60.0,19.0,0.0,0.0,celsius,698197117eba802aceabfac0deeb492375dad2ceba220dd7e1cae5def477ba11,100.0
68,0,68.2,24.0,2026-04-05 08:29:11.544 +0100,18,40.0,27.0,60.0,19.0,0.0,0.0,celsius,09b34302c5eaab32f96543c22b9a21dc5a56ee3f7aaced38ec189951567dfeaa,100.0
70,0,70.2,24.0,2026-04-05 08:29:21.476 +0100,24,40.0,27.0,60.0,19.0,0.0,0.0,celsius,03db7c3927b8fd1bc0da28650af1f1a1ecf4dbeb06d0340670bef3709aa6eaa4,100.0
72,0,71.6,24.0,2026-04-05 08:29:41.782 +0100,42,40.0,27.0,60.0,19.0,0.0,0.0,celsius,ae6cb8ca5404b0fa66acc9e7a9d511be5bc5acf9b8a5a12ce434575099efab57,100.0
74,0,73.2,24.0,2026-04-05 08:29:51.848 +0100,21,40.0,27.0,60.0,19.0,0.0,0.0,celsius,8b2e3d847b437d9c28110fe7f187dcec6ff7e5d359f993dcfe5b6d5cb3204154,100.0
76,0,74.5,24.0,2026-04-05 08:30:01.824 +0100,39,40.0,27.0,60.0,19.0,0.0,0.0,celsius,530e160e342d741fb49324c896a6198b023262cc434dd30097d35bb5ffb57ac7,100.0
78,0,75.6,24.0,2026-04-05 08:30:11.983 +0100,30,40.0,27.0,60.0,19.0,0.0,0.0,celsius,c96cb7cde2c0480b7e21d23ee4c49afb29860f35817a2d76a77770636fdc761f,100.0
80,0,76.7,24.0,2026-04-05 08:30:32.109 +0100,36,40.0,27.0,60.0,19.0,0.0,0.0,celsius,2072e12c446dea57bd099b7d05934ebfd4671b91f0eb32f1b7319ca0a9589e1b,100.0
82,0,77.9,24.0,2026-04-05 08:30:42.086 +0100,27,40.0,27.0,60.0,19.0,0.0,0.0,celsius,637cf070640b13d7d838b397c83b97f46c9691953d5cd4cd2b8215fe59efde76,100.0
84,0,79.4,24.0,2026-04-05 08:30:52.070 +0100,48,40.0,27.0,60.0,19.0,0.0,0.0,celsius,a26d34d8889ec64e889c0faa6be2e0dac91cb2bdf5b2ebbac5d2596aff2ea5b1,100.0
86,0,80.4,24.0,2026-04-05 08:31:42.553 +0100,24,40.0,27.0,60.0,19.0,0.0,0.0,celsius,0dea2c8a47c157fa067b7fc55ddc94ccc82b5de7fbb0473a8efcda5c02472141,100.0
88,0,79.2,24.0,2026-04-05 08:32:07.724 +0100,33,40.0,27.0,60.0,19.0,0.0,0.0,celsius,0afb9dd8a41a72a18d1cee33fbb6720a68c48eaf38decb8096be60ad9fe42493,100.0
